"Route","Departing_Port","Arriving_Port","Airline","Month","Sectors_Scheduled","Sectors_Flown","Cancellations","Departures_On_Time","Arrivals_On_Time","Departures_Delayed","Arrivals_Delayed","Year","Month_Num"
"Perth-Brisbane","Perth","Brisbane","All Airlines","Aug-20",48,47,1,40,43,7,4,2020,8
"Perth-Broome","Perth","Broome","All Airlines","Aug-20",117,115,2,102,104,13,11,2020,8
"Perth-Darwin","Perth","Darwin","All Airlines","Aug-20",20,20,0,19,19,1,1,2020,8
"Perth-Kalgoorlie","Perth","Kalgoorlie","All Airlines","Aug-20",76,70,6,62,60,8,10,2020,8
"Perth-Karratha","Perth","Karratha","All Airlines","Aug-20",146,135,11,121,119,14,16,2020,8
"Perth-Melbourne","Perth","Melbourne","All Airlines","Aug-20",37,35,2,30,30,5,5,2020,8
"Perth-Newman","Perth","Newman","All Airlines","Aug-20",54,51,3,41,45,10,6,2020,8
"Perth-Port Hedland","Perth","Port Hedland","All Airlines","Aug-20",77,74,3,67,69,7,5,2020,8
"Perth-Sydney","Perth","Sydney","All Airlines","Aug-20",42,40,2,27,36,13,4,2020,8
"Port Hedland-Perth","Port Hedland","Perth","All Airlines","Aug-20",77,74,3,60,68,14,6,2020,8
"Port Lincoln-Adelaide","Port Lincoln","Adelaide","All Airlines","Aug-20",104,104,0,74,77,30,27,2020,8
"Proserpine-Brisbane","Proserpine","Brisbane","All Airlines","Aug-20",47,45,2,33,39,12,6,2020,8
"Rockhampton-Brisbane","Rockhampton","Brisbane","All Airlines","Aug-20",147,146,1,130,130,16,16,2020,8
"Sydney-Adelaide","Sydney","Adelaide","All Airlines","Aug-20",38,37,1,34,35,3,2,2020,8
"Sydney-Albury","Sydney","Albury","All Airlines","Aug-20",30,30,0,25,25,5,5,2020,8
"Sydney-Armidale","Sydney","Armidale","All Airlines","Aug-20",21,21,0,21,21,0,0,2020,8
"Sydney-Ballina","Sydney","Ballina","All Airlines","Aug-20",137,134,3,124,125,10,9,2020,8
"Sydney-Brisbane","Sydney","Brisbane","All Airlines","Aug-20",118,102,16,87,92,15,10,2020,8
"Sydney-Cairns","Sydney","Cairns","All Airlines","Aug-20",10,5,5,5,5,0,0,2020,8
"Sydney-Coffs Harbour","Sydney","Coffs Harbour","All Airlines","Aug-20",48,46,2,45,45,1,1,2020,8
"Sydney-Dubbo","Sydney","Dubbo","All Airlines","Aug-20",61,60,1,54,54,6,6,2020,8
"Sydney-Gold Coast","Sydney","Gold Coast","All Airlines","Aug-20",22,18,4,16,16,2,2,2020,8
"Sydney-Hobart","Sydney","Hobart","All Airlines","Aug-20",21,21,0,21,21,0,0,2020,8
"Sydney-Launceston","Sydney","Launceston","All Airlines","Aug-20",22,22,0,22,22,0,0,2020,8
"Sydney-Melbourne","Sydney","Melbourne","All Airlines","Aug-20",80,68,12,50,54,18,14,2020,8
"Sydney-Perth","Sydney","Perth","All Airlines","Aug-20",43,41,2,36,36,5,5,2020,8
"Sydney-Wagga Wagga","Sydney","Wagga Wagga","All Airlines","Aug-20",52,51,1,46,47,5,4,2020,8
"Townsville-Brisbane","Townsville","Brisbane","All Airlines","Aug-20",174,174,0,156,161,18,13,2020,8
"Townsville-Cairns","Townsville","Cairns","All Airlines","Aug-20",49,49,0,43,43,6,6,2020,8
"Wagga Wagga-Sydney","Wagga Wagga","Sydney","All Airlines","Aug-20",51,51,0,44,46,7,5,2020,8
"Adelaide-Brisbane","Adelaide","Brisbane","Jetstar","Sep-20",30,30,0,23,24,7,6,2020,9
"Adelaide-Gold Coast","Adelaide","Gold Coast","Jetstar","Sep-20",21,21,0,20,21,1,0,2020,9
"Adelaide-Melbourne","Adelaide","Melbourne","Jetstar","Sep-20",21,21,0,17,18,4,3,2020,9
"Adelaide-Sydney","Adelaide","Sydney","Jetstar","Sep-20",23,23,0,16,19,7,4,2020,9
"Ballina-Sydney","Ballina","Sydney","Jetstar","Sep-20",70,69,1,61,63,8,6,2020,9
"Brisbane-Adelaide","Brisbane","Adelaide","Jetstar","Sep-20",30,30,0,22,26,8,4,2020,9
"Brisbane-Cairns","Brisbane","Cairns","Jetstar","Sep-20",106,106,0,99,100,7,6,2020,9
"Brisbane-Darwin","Brisbane","Darwin","Jetstar","Sep-20",25,25,0,19,12,6,13,2020,9
"Brisbane-Hobart","Brisbane","Hobart","Jetstar","Sep-20",13,13,0,10,11,3,2,2020,9
"Brisbane-Mackay","Brisbane","Mackay","Jetstar","Sep-20",28,26,2,25,22,1,4,2020,9
"Brisbane-Melbourne","Brisbane","Melbourne","Jetstar","Sep-20",12,12,0,6,8,6,4,2020,9
"Brisbane-Newcastle","Brisbane","Newcastle","Jetstar","Sep-20",10,8,2,7,7,1,1,2020,9
"Brisbane-Proserpine","Brisbane","Proserpine","Jetstar","Sep-20",37,37,0,29,28,8,9,2020,9
"Brisbane-Sydney","Brisbane","Sydney","Jetstar","Sep-20",24,23,1,20,21,3,2,2020,9
"Brisbane-Townsville","Brisbane","Townsville","Jetstar","Sep-20",60,59,1,57,56,2,3,2020,9
"Cairns-Brisbane","Cairns","Brisbane","Jetstar","Sep-20",106,106,0,90,90,16,16,2020,9
"Darwin-Brisbane","Darwin","Brisbane","Jetstar","Sep-20",25,25,0,5,6,20,19,2020,9
"Gold Coast-Adelaide","Gold Coast","Adelaide","Jetstar","Sep-20",21,21,0,20,19,1,2,2020,9
"Hobart-Brisbane","Hobart","Brisbane","Jetstar","Sep-20",13,13,0,11,11,2,2,2020,9
"Hobart-Sydney","Hobart","Sydney","Jetstar","Sep-20",12,12,0,11,10,1,2,2020,9
"Launceston-Sydney","Launceston","Sydney","Jetstar","Sep-20",13,13,0,12,12,1,1,2020,9
"Mackay-Brisbane","Mackay","Brisbane","Jetstar","Sep-20",28,26,2,22,26,4,0,2020,9
"Melbourne-Adelaide","Melbourne","Adelaide","Jetstar","Sep-20",21,21,0,19,19,2,2,2020,9
"Melbourne-Brisbane","Melbourne","Brisbane","Jetstar","Sep-20",12,12,0,8,8,4,4,2020,9
"Melbourne-Sydney","Melbourne","Sydney","Jetstar","Sep-20",25,25,0,20,23,5,2,2020,9
"Newcastle-Brisbane","Newcastle","Brisbane","Jetstar","Sep-20",10,8,2,6,6,2,2,2020,9
"Proserpine-Brisbane","Proserpine","Brisbane","Jetstar","Sep-20",37,37,0,27,29,10,8,2020,9
"Sydney-Adelaide","Sydney","Adelaide","Jetstar","Sep-20",24,24,0,21,22,3,2,2020,9
"Sydney-Ballina","Sydney","Ballina","Jetstar","Sep-20",69,69,0,67,67,2,2,2020,9
"Sydney-Brisbane","Sydney","Brisbane","Jetstar","Sep-20",24,23,1,22,22,1,1,2020,9
"Sydney-Hobart","Sydney","Hobart","Jetstar","Sep-20",12,12,0,12,12,0,0,2020,9
"Sydney-Launceston","Sydney","Launceston","Jetstar","Sep-20",13,13,0,12,12,1,1,2020,9
"Sydney-Melbourne","Sydney","Melbourne","Jetstar","Sep-20",25,25,0,22,23,3,2,2020,9
"Townsville-Brisbane","Townsville","Brisbane","Jetstar","Sep-20",60,59,1,56,54,3,5,2020,9
"Adelaide-Alice Springs","Adelaide","Alice Springs","Qantas","Sep-20",30,30,0,29,30,1,0,2020,9
"Adelaide-Brisbane","Adelaide","Brisbane","Qantas","Sep-20",48,46,2,44,44,2,2,2020,9
"Adelaide-Perth","Adelaide","Perth","Qantas","Sep-20",17,17,0,16,14,1,3,2020,9
"Adelaide-Sydney","Adelaide","Sydney","Qantas","Sep-20",13,12,1,10,11,2,1,2020,9
"Alice Springs-Adelaide","Alice Springs","Adelaide","Qantas","Sep-20",30,30,0,18,20,12,10,2020,9
"Brisbane-Adelaide","Brisbane","Adelaide","Qantas","Sep-20",48,46,2,43,45,3,1,2020,9
"Brisbane-Cairns","Brisbane","Cairns","Qantas","Sep-20",9,9,0,9,8,0,1,2020,9
"Brisbane-Darwin","Brisbane","Darwin","Qantas","Sep-20",18,18,0,18,18,0,0,2020,9
"Brisbane-Hamilton Island","Brisbane","Hamilton Island","Qantas","Sep-20",26,26,0,26,26,0,0,2020,9
"Brisbane-Mackay","Brisbane","Mackay","Qantas","Sep-20",64,60,4,57,59,3,1,2020,9
"Brisbane-Mount Isa","Brisbane","Mount Isa","Qantas","Sep-20",22,22,0,22,19,0,3,2020,9
"Brisbane-Perth","Brisbane","Perth","Qantas","Sep-20",22,22,0,19,19,3,3,2020,9
"Brisbane-Sydney","Brisbane","Sydney","Qantas","Sep-20",30,30,0,28,29,2,1,2020,9
"Brisbane-Townsville","Brisbane","Townsville","Qantas","Sep-20",32,32,0,31,31,1,1,2020,9
"Broome-Perth","Broome","Perth","Qantas","Sep-20",41,41,0,38,37,3,4,2020,9
"Cairns-Brisbane","Cairns","Brisbane","Qantas","Sep-20",9,9,0,9,9,0,0,2020,9
"Darwin-Brisbane","Darwin","Brisbane","Qantas","Sep-20",18,18,0,14,14,4,4,2020,9
"Darwin-Perth","Darwin","Perth","Qantas","Sep-20",8,8,0,8,8,0,0,2020,9
"Hamilton Island-Brisbane","Hamilton Island","Brisbane","Qantas","Sep-20",26,26,0,25,25,1,1,2020,9
"Kalgoorlie-Perth","Kalgoorlie","Perth","Qantas","Sep-20",13,13,0,12,13,1,0,2020,9
"Karratha-Perth","Karratha","Perth","Qantas","Sep-20",62,60,2,54,55,6,5,2020,9
"Mackay-Brisbane","Mackay","Brisbane","Qantas","Sep-20",64,61,3,55,55,6,6,2020,9
"Melbourne-Perth","Melbourne","Perth","Qantas","Sep-20",18,18,0,15,13,3,5,2020,9
"Melbourne-Sydney","Melbourne","Sydney","Qantas","Sep-20",22,22,0,16,16,6,6,2020,9
"Mount Isa-Brisbane","Mount Isa","Brisbane","Qantas","Sep-20",22,22,0,21,21,1,1,2020,9
"Newman-Perth","Newman","Perth","Qantas","Sep-20",22,19,3,16,15,3,4,2020,9
"Perth-Adelaide","Perth","Adelaide","Qantas","Sep-20",17,17,0,17,17,0,0,2020,9
"Perth-Brisbane","Perth","Brisbane","Qantas","Sep-20",22,22,0,18,18,4,4,2020,9
"Perth-Broome","Perth","Broome","Qantas","Sep-20",41,41,0,38,38,3,3,2020,9
"Perth-Darwin","Perth","Darwin","Qantas","Sep-20",8,8,0,8,8,0,0,2020,9
"Perth-Kalgoorlie","Perth","Kalgoorlie","Qantas","Sep-20",13,13,0,13,13,0,0,2020,9
"Perth-Karratha","Perth","Karratha","Qantas","Sep-20",62,60,2,57,57,3,3,2020,9
"Perth-Melbourne","Perth","Melbourne","Qantas","Sep-20",18,18,0,15,15,3,3,2020,9
"Perth-Newman","Perth","Newman","Qantas","Sep-20",22,19,3,18,18,1,1,2020,9
"Perth-Port Hedland","Perth","Port Hedland","Qantas","Sep-20",11,11,0,11,11,0,0,2020,9
"Perth-Sydney","Perth","Sydney","Qantas","Sep-20",22,21,1,11,14,10,7,2020,9
"Port Hedland-Perth","Port Hedland","Perth","Qantas","Sep-20",11,11,0,10,10,1,1,2020,9
"Sydney-Adelaide","Sydney","Adelaide","Qantas","Sep-20",13,12,1,10,11,2,1,2020,9
"Sydney-Brisbane","Sydney","Brisbane","Qantas","Sep-20",30,30,0,26,26,4,4,2020,9
"Sydney-Melbourne","Sydney","Melbourne","Qantas","Sep-20",22,21,1,17,19,4,2,2020,9
"Sydney-Perth","Sydney","Perth","Qantas","Sep-20",22,22,0,20,21,2,1,2020,9
"Townsville-Brisbane","Townsville","Brisbane","Qantas","Sep-20",32,32,0,27,28,5,4,2020,9
"Adelaide-Port Lincoln","Adelaide","Port Lincoln","QantasLink","Sep-20",32,32,0,29,29,3,3,2020,9
"Albury-Sydney","Albury","Sydney","QantasLink","Sep-20",8,8,0,6,6,2,2,2020,9
"Armidale-Sydney","Armidale","Sydney","QantasLink","Sep-20",13,13,0,12,12,1,1,2020,9
"Ballina-Sydney","Ballina","Sydney","QantasLink","Sep-20",61,60,1,49,51,11,9,2020,9
"Brisbane-Bundaberg","Brisbane","Bundaberg","QantasLink","Sep-20",14,14,0,14,14,0,0,2020,9
"Brisbane-Cairns","Brisbane","Cairns","QantasLink","Sep-20",157,157,0,147,143,10,14,2020,9
"Brisbane-Canberra","Brisbane","Canberra","QantasLink","Sep-20",27,26,1,22,24,4,2,2020,9
"Brisbane-Gladstone","Brisbane","Gladstone","QantasLink","Sep-20",66,66,0,65,64,1,2,2020,9
"Brisbane-Hamilton Island","Brisbane","Hamilton Island","QantasLink","Sep-20",27,27,0,26,26,1,1,2020,9
"Brisbane-Mackay","Brisbane","Mackay","QantasLink","Sep-20",30,30,0,28,29,2,1,2020,9
"Brisbane-Mount Isa","Brisbane","Mount Isa","QantasLink","Sep-20",21,21,0,21,21,0,0,2020,9
"Brisbane-Rockhampton","Brisbane","Rockhampton","QantasLink","Sep-20",113,113,0,107,107,6,6,2020,9
"Brisbane-Townsville","Brisbane","Townsville","QantasLink","Sep-20",48,47,1,46,46,1,1,2020,9
"Broome-Perth","Broome","Perth","QantasLink","Sep-20",65,65,0,54,55,11,10,2020,9
"Bundaberg-Brisbane","Bundaberg","Brisbane","QantasLink","Sep-20",14,14,0,13,13,1,1,2020,9
"Cairns-Brisbane","Cairns","Brisbane","QantasLink","Sep-20",157,155,2,143,134,12,21,2020,9
"Cairns-Townsville","Cairns","Townsville","QantasLink","Sep-20",65,65,0,64,64,1,1,2020,9
"Canberra-Brisbane","Canberra","Brisbane","QantasLink","Sep-20",27,25,2,22,23,3,2,2020,9
"Canberra-Melbourne","Canberra","Melbourne","QantasLink","Sep-20",17,17,0,15,15,2,2,2020,9
"Coffs Harbour-Sydney","Coffs Harbour","Sydney","QantasLink","Sep-20",34,34,0,29,30,5,4,2020,9
"Dubbo-Sydney","Dubbo","Sydney","QantasLink","Sep-20",17,17,0,12,16,5,1,2020,9
"Gladstone-Brisbane","Gladstone","Brisbane","QantasLink","Sep-20",66,66,0,62,64,4,2,2020,9
"Hamilton Island-Brisbane","Hamilton Island","Brisbane","QantasLink","Sep-20",26,26,0,24,21,2,5,2020,9
"Kalgoorlie-Perth","Kalgoorlie","Perth","QantasLink","Sep-20",51,50,1,48,48,2,2,2020,9
"Karratha-Perth","Karratha","Perth","QantasLink","Sep-20",72,71,1,64,64,7,7,2020,9
"Mackay-Brisbane","Mackay","Brisbane","QantasLink","Sep-20",29,29,0,28,28,1,1,2020,9
"Melbourne-Canberra","Melbourne","Canberra","QantasLink","Sep-20",17,17,0,15,15,2,2,2020,9
"Melbourne-Mildura","Melbourne","Mildura","QantasLink","Sep-20",8,8,0,6,6,2,2,2020,9
"Mildura-Melbourne","Mildura","Melbourne","QantasLink","Sep-20",8,8,0,6,7,2,1,2020,9
"Mount Isa-Brisbane","Mount Isa","Brisbane","QantasLink","Sep-20",21,21,0,21,21,0,0,2020,9
"Newman-Perth","Newman","Perth","QantasLink","Sep-20",34,32,2,28,30,4,2,2020,9
"Perth-Broome","Perth","Broome","QantasLink","Sep-20",65,65,0,58,61,7,4,2020,9
"Perth-Kalgoorlie","Perth","Kalgoorlie","QantasLink","Sep-20",51,51,0,48,47,3,4,2020,9
"Perth-Karratha","Perth","Karratha","QantasLink","Sep-20",73,72,1,70,70,2,2,2020,9
"Perth-Newman","Perth","Newman","QantasLink","Sep-20",34,32,2,31,31,1,1,2020,9
"Perth-Port Hedland","Perth","Port Hedland","QantasLink","Sep-20",45,45,0,42,40,3,5,2020,9
"Port Hedland-Perth","Port Hedland","Perth","QantasLink","Sep-20",45,45,0,36,35,9,10,2020,9
"Port Lincoln-Adelaide","Port Lincoln","Adelaide","QantasLink","Sep-20",32,32,0,27,27,5,5,2020,9
"Rockhampton-Brisbane","Rockhampton","Brisbane","QantasLink","Sep-20",108,108,0,101,99,7,9,2020,9
"Sydney-Albury","Sydney","Albury","QantasLink","Sep-20",8,8,0,7,7,1,1,2020,9
"Sydney-Armidale","Sydney","Armidale","QantasLink","Sep-20",13,13,0,12,12,1,1,2020,9
"Sydney-Ballina","Sydney","Ballina","QantasLink","Sep-20",61,61,0,57,51,4,10,2020,9
"Sydney-Coffs Harbour","Sydney","Coffs Harbour","QantasLink","Sep-20",34,34,0,29,31,5,3,2020,9
"Sydney-Dubbo","Sydney","Dubbo","QantasLink","Sep-20",17,17,0,15,15,2,2,2020,9
"Sydney-Wagga Wagga","Sydney","Wagga Wagga","QantasLink","Sep-20",13,13,0,10,10,3,3,2020,9
"Townsville-Brisbane","Townsville","Brisbane","QantasLink","Sep-20",48,47,1,46,45,1,2,2020,9
"Townsville-Cairns","Townsville","Cairns","QantasLink","Sep-20",65,64,1,59,61,5,3,2020,9
"Wagga Wagga-Sydney","Wagga Wagga","Sydney","QantasLink","Sep-20",13,13,0,10,11,3,2,2020,9
"Adelaide-Port Lincoln","Adelaide","Port Lincoln","Regional Express","Sep-20",90,90,0,77,65,13,25,2020,9
"Albury-Sydney","Albury","Sydney","Regional Express","Sep-20",20,20,0,19,19,1,1,2020,9
"Armidale-Sydney","Armidale","Sydney","Regional Express","Sep-20",9,9,0,9,9,0,0,2020,9
"Ballina-Sydney","Ballina","Sydney","Regional Express","Sep-20",8,8,0,8,8,0,0,2020,9
"Cairns-Townsville","Cairns","Townsville","Regional Express","Sep-20",9,9,0,8,8,1,1,2020,9
"Dubbo-Sydney","Dubbo","Sydney","Regional Express","Sep-20",45,44,1,38,39,6,5,2020,9
"Melbourne-Mildura","Melbourne","Mildura","Regional Express","Sep-20",9,9,0,9,8,0,1,2020,9
"Mildura-Melbourne","Mildura","Melbourne","Regional Express","Sep-20",9,9,0,9,9,0,0,2020,9
"Port Lincoln-Adelaide","Port Lincoln","Adelaide","Regional Express","Sep-20",90,90,0,57,62,33,28,2020,9
"Sydney-Albury","Sydney","Albury","Regional Express","Sep-20",20,20,0,18,19,2,1,2020,9
"Sydney-Armidale","Sydney","Armidale","Regional Express","Sep-20",9,9,0,9,9,0,0,2020,9
"Sydney-Ballina","Sydney","Ballina","Regional Express","Sep-20",8,8,0,8,8,0,0,2020,9
"Sydney-Dubbo","Sydney","Dubbo","Regional Express","Sep-20",44,44,0,38,39,6,5,2020,9
"Sydney-Wagga Wagga","Sydney","Wagga Wagga","Regional Express","Sep-20",34,34,0,31,33,3,1,2020,9
"Townsville-Cairns","Townsville","Cairns","Regional Express","Sep-20",9,9,0,9,9,0,0,2020,9
"Wagga Wagga-Sydney","Wagga Wagga","Sydney","Regional Express","Sep-20",34,34,0,31,32,3,2,2020,9
"Adelaide-Alice Springs","Adelaide","Alice Springs","Virgin Australia","Sep-20",13,13,0,13,13,0,0,2020,9
"Adelaide-Brisbane","Adelaide","Brisbane","Virgin Australia","Sep-20",38,38,0,30,36,8,2,2020,9
"Adelaide-Gold Coast","Adelaide","Gold Coast","Virgin Australia","Sep-20",1,1,0,1,1,0,0,2020,9
"Adelaide-Melbourne","Adelaide","Melbourne","Virgin Australia","Sep-20",13,13,0,11,12,2,1,2020,9
"Adelaide-Perth","Adelaide","Perth","Virgin Australia","Sep-20",13,13,0,13,12,0,1,2020,9
"Adelaide-Sydney","Adelaide","Sydney","Virgin Australia","Sep-20",13,13,0,11,11,2,2,2020,9
"Alice Springs-Adelaide","Alice Springs","Adelaide","Virgin Australia","Sep-20",13,13,0,13,13,0,0,2020,9
"Ballina-Sydney","Ballina","Sydney","Virgin Australia","Sep-20",18,18,0,16,16,2,2,2020,9
"Brisbane-Adelaide","Brisbane","Adelaide","Virgin Australia","Sep-20",39,39,0,37,38,2,1,2020,9
"Brisbane-Bundaberg","Brisbane","Bundaberg","Virgin Australia","Sep-20",19,19,0,19,19,0,0,2020,9
"Brisbane-Cairns","Brisbane","Cairns","Virgin Australia","Sep-20",63,63,0,59,62,4,1,2020,9
"Brisbane-Canberra","Brisbane","Canberra","Virgin Australia","Sep-20",13,13,0,11,11,2,2,2020,9
"Brisbane-Darwin","Brisbane","Darwin","Virgin Australia","Sep-20",17,17,0,15,17,2,0,2020,9
"Brisbane-Gladstone","Brisbane","Gladstone","Virgin Australia","Sep-20",25,25,0,25,23,0,2,2020,9
"Brisbane-Hamilton Island","Brisbane","Hamilton Island","Virgin Australia","Sep-20",23,23,0,20,20,3,3,2020,9
"Brisbane-Hobart","Brisbane","Hobart","Virgin Australia","Sep-20",8,8,0,8,8,0,0,2020,9
"Brisbane-Mackay","Brisbane","Mackay","Virgin Australia","Sep-20",50,48,2,43,46,5,2,2020,9
"Brisbane-Melbourne","Brisbane","Melbourne","Virgin Australia","Sep-20",12,12,0,9,10,3,2,2020,9
"Brisbane-Mount Isa","Brisbane","Mount Isa","Virgin Australia","Sep-20",13,13,0,11,11,2,2,2020,9
"Brisbane-Newcastle","Brisbane","Newcastle","Virgin Australia","Sep-20",13,13,0,12,12,1,1,2020,9
"Brisbane-Perth","Brisbane","Perth","Virgin Australia","Sep-20",22,22,0,19,22,3,0,2020,9
"Brisbane-Proserpine","Brisbane","Proserpine","Virgin Australia","Sep-20",21,21,0,20,20,1,1,2020,9
"Brisbane-Rockhampton","Brisbane","Rockhampton","Virgin Australia","Sep-20",49,47,2,39,38,8,9,2020,9
"Brisbane-Sydney","Brisbane","Sydney","Virgin Australia","Sep-20",21,21,0,21,21,0,0,2020,9
"Brisbane-Townsville","Brisbane","Townsville","Virgin Australia","Sep-20",55,55,0,51,54,4,1,2020,9
"Broome-Perth","Broome","Perth","Virgin Australia","Sep-20",33,33,0,28,32,5,1,2020,9
"Bundaberg-Brisbane","Bundaberg","Brisbane","Virgin Australia","Sep-20",6,6,0,5,5,1,1,2020,9
"Cairns-Brisbane","Cairns","Brisbane","Virgin Australia","Sep-20",63,63,0,60,60,3,3,2020,9
"Canberra-Brisbane","Canberra","Brisbane","Virgin Australia","Sep-20",13,13,0,9,10,4,3,2020,9
"Canberra-Melbourne","Canberra","Melbourne","Virgin Australia","Sep-20",8,8,0,8,8,0,0,2020,9
"Coffs Harbour-Sydney","Coffs Harbour","Sydney","Virgin Australia","Sep-20",9,9,0,9,9,0,0,2020,9
"Darwin-Brisbane","Darwin","Brisbane","Virgin Australia","Sep-20",17,17,0,16,17,1,0,2020,9
"Darwin-Perth","Darwin","Perth","Virgin Australia","Sep-20",8,8,0,8,8,0,0,2020,9
"Gladstone-Brisbane","Gladstone","Brisbane","Virgin Australia","Sep-20",38,38,0,37,35,1,3,2020,9
"Gold Coast-Adelaide","Gold Coast","Adelaide","Virgin Australia","Sep-20",1,1,0,1,1,0,0,2020,9
"Hamilton Island-Brisbane","Hamilton Island","Brisbane","Virgin Australia","Sep-20",23,23,0,19,21,4,2,2020,9
"Hobart-Brisbane","Hobart","Brisbane","Virgin Australia","Sep-20",8,8,0,7,7,1,1,2020,9
"Hobart-Sydney","Hobart","Sydney","Virgin Australia","Sep-20",9,9,0,9,9,0,0,2020,9
"Kalgoorlie-Perth","Kalgoorlie","Perth","Virgin Australia","Sep-20",32,30,2,25,26,5,4,2020,9
"Karratha-Perth","Karratha","Perth","Virgin Australia","Sep-20",41,40,1,33,35,7,5,2020,9
"Launceston-Sydney","Launceston","Sydney","Virgin Australia","Sep-20",8,8,0,8,8,0,0,2020,9
"Mackay-Brisbane","Mackay","Brisbane","Virgin Australia","Sep-20",50,48,2,47,47,1,1,2020,9
"Melbourne-Adelaide","Melbourne","Adelaide","Virgin Australia","Sep-20",13,13,0,11,11,2,2,2020,9
"Melbourne-Brisbane","Melbourne","Brisbane","Virgin Australia","Sep-20",12,12,0,7,7,5,5,2020,9
"Melbourne-Canberra","Melbourne","Canberra","Virgin Australia","Sep-20",8,8,0,8,8,0,0,2020,9
"Melbourne-Perth","Melbourne","Perth","Virgin Australia","Sep-20",12,12,0,12,11,0,1,2020,9
"Melbourne-Sydney","Melbourne","Sydney","Virgin Australia","Sep-20",22,22,0,19,22,3,0,2020,9
"Mount Isa-Brisbane","Mount Isa","Brisbane","Virgin Australia","Sep-20",13,13,0,11,12,2,1,2020,9
"Newcastle-Brisbane","Newcastle","Brisbane","Virgin Australia","Sep-20",13,13,0,13,13,0,0,2020,9
"Newman-Perth","Newman","Perth","Virgin Australia","Sep-20",18,10,8,9,9,1,1,2020,9
"Perth-Adelaide","Perth","Adelaide","Virgin Australia","Sep-20",13,13,0,13,13,0,0,2020,9
"Perth-Brisbane","Perth","Brisbane","Virgin Australia","Sep-20",22,22,0,19,21,3,1,2020,9
"Perth-Broome","Perth","Broome","Virgin Australia","Sep-20",33,33,0,29,32,4,1,2020,9
"Perth-Darwin","Perth","Darwin","Virgin Australia","Sep-20",8,8,0,8,8,0,0,2020,9
"Perth-Kalgoorlie","Perth","Kalgoorlie","Virgin Australia","Sep-20",32,30,2,27,27,3,3,2020,9
"Perth-Karratha","Perth","Karratha","Virgin Australia","Sep-20",41,40,1,37,38,3,2,2020,9
"Perth-Melbourne","Perth","Melbourne","Virgin Australia","Sep-20",12,12,0,12,12,0,0,2020,9
"Perth-Newman","Perth","Newman","Virgin Australia","Sep-20",18,10,8,10,10,0,0,2020,9
"Perth-Port Hedland","Perth","Port Hedland","Virgin Australia","Sep-20",28,27,1,26,25,1,2,2020,9
"Perth-Sydney","Perth","Sydney","Virgin Australia","Sep-20",17,17,0,12,13,5,4,2020,9
"Port Hedland-Perth","Port Hedland","Perth","Virgin Australia","Sep-20",28,27,1,21,21,6,6,2020,9
"Proserpine-Brisbane","Proserpine","Brisbane","Virgin Australia","Sep-20",21,21,0,20,21,1,0,2020,9
"Rockhampton-Brisbane","Rockhampton","Brisbane","Virgin Australia","Sep-20",48,47,1,38,41,9,6,2020,9
"Sydney-Adelaide","Sydney","Adelaide","Virgin Australia","Sep-20",13,13,0,10,11,3,2,2020,9
"Sydney-Ballina","Sydney","Ballina","Virgin Australia","Sep-20",18,18,0,18,18,0,0,2020,9
"Sydney-Brisbane","Sydney","Brisbane","Virgin Australia","Sep-20",21,21,0,19,20,2,1,2020,9
"Sydney-Coffs Harbour","Sydney","Coffs Harbour","Virgin Australia","Sep-20",9,9,0,9,9,0,0,2020,9
"Sydney-Hobart","Sydney","Hobart","Virgin Australia","Sep-20",9,9,0,9,9,0,0,2020,9
"Sydney-Launceston","Sydney","Launceston","Virgin Australia","Sep-20",8,8,0,7,8,1,0,2020,9
"Sydney-Melbourne","Sydney","Melbourne","Virgin Australia","Sep-20",22,22,0,22,22,0,0,2020,9
"Sydney-Perth","Sydney","Perth","Virgin Australia","Sep-20",17,17,0,15,16,2,1,2020,9
"Townsville-Brisbane","Townsville","Brisbane","Virgin Australia","Sep-20",55,55,0,53,54,2,1,2020,9
"Newman-Perth","Newman","Perth","Virgin Australia Regional Airlines","Sep-20",3,3,0,1,1,2,2,2020,9
"Perth-Newman","Perth","Newman","Virgin Australia Regional Airlines","Sep-20",3,3,0,2,2,1,1,2020,9
"Perth-Port Hedland","Perth","Port Hedland","Virgin Australia Regional Airlines","Sep-20",3,3,0,3,2,0,1,2020,9
"Port Hedland-Perth","Port Hedland","Perth","Virgin Australia Regional Airlines","Sep-20",3,3,0,2,1,1,2,2020,9
"Adelaide-Alice Springs","Adelaide","Alice Springs","All Airlines","Sep-20",43,43,0,42,43,1,0,2020,9
"Adelaide-Brisbane","Adelaide","Brisbane","All Airlines","Sep-20",116,114,2,97,104,17,10,2020,9
"Adelaide-Gold Coast","Adelaide","Gold Coast","All Airlines","Sep-20",22,22,0,21,22,1,0,2020,9
"Adelaide-Melbourne","Adelaide","Melbourne","All Airlines","Sep-20",34,34,0,28,30,6,4,2020,9
"Adelaide-Perth","Adelaide","Perth","All Airlines","Sep-20",30,30,0,29,26,1,4,2020,9
