"Route","Departing_Port","Arriving_Port","Airline","Month","Sectors_Scheduled","Sectors_Flown","Cancellations","Departures_On_Time","Arrivals_On_Time","Departures_Delayed","Arrivals_Delayed","Year","Month_Num"
"Sydney-Gold Coast","Sydney","Gold Coast","QantasLink","Jan-23",35,34,1,30,29,4,5,2023,1
"Sydney-Hobart","Sydney","Hobart","QantasLink","Jan-23",48,48,0,29,36,19,12,2023,1
"Sydney-Launceston","Sydney","Launceston","QantasLink","Jan-23",31,31,0,28,29,3,2,2023,1
"Sydney-Port Macquarie","Sydney","Port Macquarie","QantasLink","Jan-23",110,109,1,91,95,18,14,2023,1
"Sydney-Sunshine Coast","Sydney","Sunshine Coast","QantasLink","Jan-23",67,66,1,53,51,13,15,2023,1
"Sydney-Wagga Wagga","Sydney","Wagga Wagga","QantasLink","Jan-23",99,95,4,81,80,14,15,2023,1
"Townsville-Brisbane","Townsville","Brisbane","QantasLink","Jan-23",18,18,0,12,10,6,8,2023,1
"Townsville-Cairns","Townsville","Cairns","QantasLink","Jan-23",153,147,6,128,133,19,14,2023,1
"Wagga Wagga-Sydney","Wagga Wagga","Sydney","QantasLink","Jan-23",98,92,6,82,83,10,9,2023,1
"Adelaide-Melbourne","Adelaide","Melbourne","Rex Airlines","Jan-23",57,57,0,49,49,8,8,2023,1
"Adelaide-Port Lincoln","Adelaide","Port Lincoln","Rex Airlines","Jan-23",151,146,5,139,133,7,13,2023,1
"Albury-Sydney","Albury","Sydney","Rex Airlines","Jan-23",82,80,2,68,67,12,13,2023,1
"Armidale-Sydney","Armidale","Sydney","Rex Airlines","Jan-23",38,38,0,31,30,7,8,2023,1
"Brisbane-Melbourne","Brisbane","Melbourne","Rex Airlines","Jan-23",64,64,0,49,46,15,18,2023,1
"Brisbane-Sydney","Brisbane","Sydney","Rex Airlines","Jan-23",144,143,1,112,111,31,32,2023,1
"Cairns-Townsville","Cairns","Townsville","Rex Airlines","Jan-23",13,12,1,10,11,2,1,2023,1
"Canberra-Melbourne","Canberra","Melbourne","Rex Airlines","Jan-23",31,31,0,25,25,6,6,2023,1
"Coffs Harbour-Sydney","Coffs Harbour","Sydney","Rex Airlines","Jan-23",90,89,1,77,69,12,20,2023,1
"Dubbo-Sydney","Dubbo","Sydney","Rex Airlines","Jan-23",76,76,0,70,65,6,11,2023,1
"Gold Coast-Melbourne","Gold Coast","Melbourne","Rex Airlines","Jan-23",32,32,0,25,28,7,4,2023,1
"Gold Coast-Sydney","Gold Coast","Sydney","Rex Airlines","Jan-23",31,31,0,27,28,4,3,2023,1
"Melbourne-Adelaide","Melbourne","Adelaide","Rex Airlines","Jan-23",58,58,0,48,47,10,11,2023,1
"Melbourne-Brisbane","Melbourne","Brisbane","Rex Airlines","Jan-23",64,64,0,53,48,11,16,2023,1
"Melbourne-Canberra","Melbourne","Canberra","Rex Airlines","Jan-23",31,31,0,25,26,6,5,2023,1
"Melbourne-Gold Coast","Melbourne","Gold Coast","Rex Airlines","Jan-23",32,32,0,31,30,1,2,2023,1
"Melbourne-Mildura","Melbourne","Mildura","Rex Airlines","Jan-23",59,59,0,52,46,7,13,2023,1
"Melbourne-Sydney","Melbourne","Sydney","Rex Airlines","Jan-23",195,191,4,170,163,21,28,2023,1
"Mildura-Melbourne","Mildura","Melbourne","Rex Airlines","Jan-23",58,58,0,52,44,6,14,2023,1
"Port Lincoln-Adelaide","Port Lincoln","Adelaide","Rex Airlines","Jan-23",151,146,5,133,133,13,13,2023,1
"Port Macquarie-Sydney","Port Macquarie","Sydney","Rex Airlines","Jan-23",73,72,1,63,61,9,11,2023,1
"Sydney-Albury","Sydney","Albury","Rex Airlines","Jan-23",81,80,1,63,66,17,14,2023,1
"Sydney-Armidale","Sydney","Armidale","Rex Airlines","Jan-23",38,38,0,32,32,6,6,2023,1
"Sydney-Brisbane","Sydney","Brisbane","Rex Airlines","Jan-23",143,142,1,114,104,28,38,2023,1
"Sydney-Coffs Harbour","Sydney","Coffs Harbour","Rex Airlines","Jan-23",91,91,0,79,80,12,11,2023,1
"Sydney-Dubbo","Sydney","Dubbo","Rex Airlines","Jan-23",87,87,0,74,80,13,7,2023,1
"Sydney-Gold Coast","Sydney","Gold Coast","Rex Airlines","Jan-23",32,32,0,29,28,3,4,2023,1
"Sydney-Melbourne","Sydney","Melbourne","Rex Airlines","Jan-23",195,191,4,170,173,21,18,2023,1
"Sydney-Port Macquarie","Sydney","Port Macquarie","Rex Airlines","Jan-23",75,74,1,66,68,8,6,2023,1
"Sydney-Wagga Wagga","Sydney","Wagga Wagga","Rex Airlines","Jan-23",81,79,2,62,64,17,15,2023,1
"Townsville-Cairns","Townsville","Cairns","Rex Airlines","Jan-23",13,12,1,10,10,2,2,2023,1
"Wagga Wagga-Sydney","Wagga Wagga","Sydney","Rex Airlines","Jan-23",80,78,2,70,62,8,16,2023,1
"Adelaide-Alice Springs","Adelaide","Alice Springs","Virgin Australia","Jan-23",9,9,0,8,7,1,2,2023,1
"Adelaide-Brisbane","Adelaide","Brisbane","Virgin Australia","Jan-23",140,136,4,102,105,34,31,2023,1
"Adelaide-Canberra","Adelaide","Canberra","Virgin Australia","Jan-23",19,19,0,13,14,6,5,2023,1
"Adelaide-Gold Coast","Adelaide","Gold Coast","Virgin Australia","Jan-23",43,42,1,36,38,6,4,2023,1
"Adelaide-Melbourne","Adelaide","Melbourne","Virgin Australia","Jan-23",273,269,4,202,224,67,45,2023,1
"Adelaide-Perth","Adelaide","Perth","Virgin Australia","Jan-23",21,21,0,12,11,9,10,2023,1
"Adelaide-Sydney","Adelaide","Sydney","Virgin Australia","Jan-23",141,138,3,104,104,34,34,2023,1
"Alice Springs-Adelaide","Alice Springs","Adelaide","Virgin Australia","Jan-23",9,9,0,6,7,3,2,2023,1
"Ballina-Sydney","Ballina","Sydney","Virgin Australia","Jan-23",52,52,0,32,35,20,17,2023,1
"Brisbane-Adelaide","Brisbane","Adelaide","Virgin Australia","Jan-23",140,136,4,100,100,36,36,2023,1
"Brisbane-Cairns","Brisbane","Cairns","Virgin Australia","Jan-23",136,135,1,100,98,35,37,2023,1
"Brisbane-Canberra","Brisbane","Canberra","Virgin Australia","Jan-23",94,93,1,70,75,23,18,2023,1
"Brisbane-Darwin","Brisbane","Darwin","Virgin Australia","Jan-23",40,40,0,31,30,9,10,2023,1
"Brisbane-Emerald","Brisbane","Emerald","Virgin Australia","Jan-23",27,27,0,18,19,9,8,2023,1
"Brisbane-Gladstone","Brisbane","Gladstone","Virgin Australia","Jan-23",48,46,2,30,28,16,18,2023,1
"Brisbane-Hamilton Island","Brisbane","Hamilton Island","Virgin Australia","Jan-23",40,40,0,37,33,3,7,2023,1
"Brisbane-Hobart","Brisbane","Hobart","Virgin Australia","Jan-23",58,57,1,45,44,12,13,2023,1
"Brisbane-Launceston","Brisbane","Launceston","Virgin Australia","Jan-23",25,24,1,17,17,7,7,2023,1
"Brisbane-Mackay","Brisbane","Mackay","Virgin Australia","Jan-23",134,131,3,77,65,54,66,2023,1
"Brisbane-Melbourne","Brisbane","Melbourne","Virgin Australia","Jan-23",403,393,10,269,259,124,134,2023,1
"Brisbane-Mount Isa","Brisbane","Mount Isa","Virgin Australia","Jan-23",12,12,0,7,6,5,6,2023,1
"Brisbane-Newcastle","Brisbane","Newcastle","Virgin Australia","Jan-23",84,82,2,51,49,31,33,2023,1
"Brisbane-Perth","Brisbane","Perth","Virgin Australia","Jan-23",136,133,3,93,90,40,43,2023,1
"Brisbane-Proserpine","Brisbane","Proserpine","Virgin Australia","Jan-23",49,44,5,37,36,7,8,2023,1
"Brisbane-Rockhampton","Brisbane","Rockhampton","Virgin Australia","Jan-23",136,135,1,77,61,58,74,2023,1
"Brisbane-Sydney","Brisbane","Sydney","Virgin Australia","Jan-23",418,405,13,270,266,135,139,2023,1
"Brisbane-Townsville","Brisbane","Townsville","Virgin Australia","Jan-23",138,126,12,82,85,44,41,2023,1
"Broome-Perth","Broome","Perth","Virgin Australia","Jan-23",11,10,1,2,3,8,7,2023,1
"Cairns-Brisbane","Cairns","Brisbane","Virgin Australia","Jan-23",136,135,1,97,105,38,30,2023,1
"Cairns-Melbourne","Cairns","Melbourne","Virgin Australia","Jan-23",49,49,0,33,35,16,14,2023,1
"Cairns-Sydney","Cairns","Sydney","Virgin Australia","Jan-23",81,81,0,64,63,17,18,2023,1
"Canberra-Adelaide","Canberra","Adelaide","Virgin Australia","Jan-23",19,19,0,15,13,4,6,2023,1
"Canberra-Brisbane","Canberra","Brisbane","Virgin Australia","Jan-23",94,92,2,70,70,22,22,2023,1
"Canberra-Gold Coast","Canberra","Gold Coast","Virgin Australia","Jan-23",45,45,0,38,37,7,8,2023,1
"Canberra-Melbourne","Canberra","Melbourne","Virgin Australia","Jan-23",105,105,0,80,79,25,26,2023,1
"Canberra-Sydney","Canberra","Sydney","Virgin Australia","Jan-23",212,209,3,173,179,36,30,2023,1
"Darwin-Brisbane","Darwin","Brisbane","Virgin Australia","Jan-23",39,39,0,28,30,11,9,2023,1
"Darwin-Melbourne","Darwin","Melbourne","Virgin Australia","Jan-23",20,19,1,8,11,11,8,2023,1
"Darwin-Perth","Darwin","Perth","Virgin Australia","Jan-23",2,2,0,2,2,0,0,2023,1
"Darwin-Sydney","Darwin","Sydney","Virgin Australia","Jan-23",7,7,0,5,6,2,1,2023,1
"Emerald-Brisbane","Emerald","Brisbane","Virgin Australia","Jan-23",27,27,0,19,18,8,9,2023,1
"Gladstone-Brisbane","Gladstone","Brisbane","Virgin Australia","Jan-23",48,46,2,31,21,15,25,2023,1
"Gold Coast-Adelaide","Gold Coast","Adelaide","Virgin Australia","Jan-23",43,42,1,34,34,8,8,2023,1
"Gold Coast-Canberra","Gold Coast","Canberra","Virgin Australia","Jan-23",45,45,0,35,37,10,8,2023,1
"Gold Coast-Melbourne","Gold Coast","Melbourne","Virgin Australia","Jan-23",328,328,0,271,270,57,58,2023,1
"Gold Coast-Sydney","Gold Coast","Sydney","Virgin Australia","Jan-23",320,314,6,239,233,75,81,2023,1
"Hamilton Island-Brisbane","Hamilton Island","Brisbane","Virgin Australia","Jan-23",40,40,0,28,30,12,10,2023,1
"Hamilton Island-Sydney","Hamilton Island","Sydney","Virgin Australia","Jan-23",31,31,0,23,23,8,8,2023,1
"Hobart-Brisbane","Hobart","Brisbane","Virgin Australia","Jan-23",58,57,1,38,37,19,20,2023,1
"Hobart-Melbourne","Hobart","Melbourne","Virgin Australia","Jan-23",141,140,1,95,86,45,54,2023,1
"Hobart-Sydney","Hobart","Sydney","Virgin Australia","Jan-23",79,77,2,52,45,25,32,2023,1
"Kalgoorlie-Perth","Kalgoorlie","Perth","Virgin Australia","Jan-23",27,26,1,19,16,7,10,2023,1
"Karratha-Perth","Karratha","Perth","Virgin Australia","Jan-23",23,23,0,21,20,2,3,2023,1
"Launceston-Brisbane","Launceston","Brisbane","Virgin Australia","Jan-23",25,24,1,18,17,6,7,2023,1
"Launceston-Melbourne","Launceston","Melbourne","Virgin Australia","Jan-23",97,97,0,81,79,16,18,2023,1
"Launceston-Sydney","Launceston","Sydney","Virgin Australia","Jan-23",31,31,0,27,20,4,11,2023,1
"Mackay-Brisbane","Mackay","Brisbane","Virgin Australia","Jan-23",135,131,4,76,74,55,57,2023,1
"Melbourne-Adelaide","Melbourne","Adelaide","Virgin Australia","Jan-23",274,270,4,214,195,56,75,2023,1
"Melbourne-Brisbane","Melbourne","Brisbane","Virgin Australia","Jan-23",403,393,10,302,283,91,110,2023,1
"Melbourne-Cairns","Melbourne","Cairns","Virgin Australia","Jan-23",49,49,0,42,40,7,9,2023,1
"Melbourne-Canberra","Melbourne","Canberra","Virgin Australia","Jan-23",105,105,0,82,75,23,30,2023,1
"Melbourne-Darwin","Melbourne","Darwin","Virgin Australia","Jan-23",20,20,0,13,10,7,10,2023,1
"Melbourne-Gold Coast","Melbourne","Gold Coast","Virgin Australia","Jan-23",328,328,0,268,273,60,55,2023,1
"Melbourne-Hobart","Melbourne","Hobart","Virgin Australia","Jan-23",141,140,1,108,104,32,36,2023,1
"Melbourne-Launceston","Melbourne","Launceston","Virgin Australia","Jan-23",97,97,0,72,71,25,26,2023,1
"Melbourne-Newcastle","Melbourne","Newcastle","Virgin Australia","Jan-23",31,31,0,24,21,7,10,2023,1
"Melbourne-Perth","Melbourne","Perth","Virgin Australia","Jan-23",192,190,2,144,153,46,37,2023,1
"Melbourne-Sunshine Coast","Melbourne","Sunshine Coast","Virgin Australia","Jan-23",111,111,0,87,86,24,25,2023,1
"Melbourne-Sydney","Melbourne","Sydney","Virgin Australia","Jan-23",736,701,35,594,546,107,155,2023,1
"Mount Isa-Brisbane","Mount Isa","Brisbane","Virgin Australia","Jan-23",12,12,0,8,3,4,9,2023,1
"Newcastle-Brisbane","Newcastle","Brisbane","Virgin Australia","Jan-23",83,81,2,56,54,25,27,2023,1
"Newcastle-Melbourne","Newcastle","Melbourne","Virgin Australia","Jan-23",31,31,0,18,16,13,15,2023,1
"Newman-Perth","Newman","Perth","Virgin Australia","Jan-23",18,17,1,9,9,8,8,2023,1
"Perth-Adelaide","Perth","Adelaide","Virgin Australia","Jan-23",21,21,0,16,17,5,4,2023,1
"Perth-Brisbane","Perth","Brisbane","Virgin Australia","Jan-23",138,135,3,89,116,46,19,2023,1
"Perth-Broome","Perth","Broome","Virgin Australia","Jan-23",11,10,1,4,4,6,6,2023,1
"Perth-Darwin","Perth","Darwin","Virgin Australia","Jan-23",2,2,0,0,0,2,2,2023,1
"Perth-Kalgoorlie","Perth","Kalgoorlie","Virgin Australia","Jan-23",27,26,1,19,20,7,6,2023,1
"Perth-Karratha","Perth","Karratha","Virgin Australia","Jan-23",23,23,0,22,22,1,1,2023,1
"Perth-Melbourne","Perth","Melbourne","Virgin Australia","Jan-23",198,196,2,141,143,55,53,2023,1
"Perth-Newman","Perth","Newman","Virgin Australia","Jan-23",18,18,0,15,14,3,4,2023,1
"Perth-Port Hedland","Perth","Port Hedland","Virgin Australia","Jan-23",11,11,0,10,11,1,0,2023,1
"Perth-Sydney","Perth","Sydney","Virgin Australia","Jan-23",151,151,0,110,126,41,25,2023,1
"Port Hedland-Perth","Port Hedland","Perth","Virgin Australia","Jan-23",11,11,0,8,8,3,3,2023,1
"Proserpine-Brisbane","Proserpine","Brisbane","Virgin Australia","Jan-23",49,44,5,33,33,11,11,2023,1
"Rockhampton-Brisbane","Rockhampton","Brisbane","Virgin Australia","Jan-23",135,134,1,83,74,51,60,2023,1
"Sunshine Coast-Melbourne","Sunshine Coast","Melbourne","Virgin Australia","Jan-23",111,111,0,86,77,25,34,2023,1
"Sunshine Coast-Sydney","Sunshine Coast","Sydney","Virgin Australia","Jan-23",83,83,0,71,64,12,19,2023,1
"Sydney-Adelaide","Sydney","Adelaide","Virgin Australia","Jan-23",141,138,3,99,109,39,29,2023,1
"Sydney-Ballina","Sydney","Ballina","Virgin Australia","Jan-23",52,52,0,37,35,15,17,2023,1
"Sydney-Brisbane","Sydney","Brisbane","Virgin Australia","Jan-23",417,406,11,304,303,102,103,2023,1
"Sydney-Cairns","Sydney","Cairns","Virgin Australia","Jan-23",80,80,0,62,66,18,14,2023,1
"Sydney-Canberra","Sydney","Canberra","Virgin Australia","Jan-23",212,209,3,164,177,45,32,2023,1
"Sydney-Darwin","Sydney","Darwin","Virgin Australia","Jan-23",7,7,0,2,2,5,5,2023,1
"Sydney-Gold Coast","Sydney","Gold Coast","Virgin Australia","Jan-23",319,314,5,240,234,74,80,2023,1
"Sydney-Hamilton Island","Sydney","Hamilton Island","Virgin Australia","Jan-23",31,31,0,25,25,6,6,2023,1
"Sydney-Hobart","Sydney","Hobart","Virgin Australia","Jan-23",79,78,1,67,69,11,9,2023,1
"Sydney-Launceston","Sydney","Launceston","Virgin Australia","Jan-23",31,31,0,25,27,6,4,2023,1
"Sydney-Melbourne","Sydney","Melbourne","Virgin Australia","Jan-23",727,688,39,507,529,181,159,2023,1
"Sydney-Perth","Sydney","Perth","Virgin Australia","Jan-23",162,162,0,119,128,43,34,2023,1
"Sydney-Sunshine Coast","Sydney","Sunshine Coast","Virgin Australia","Jan-23",83,83,0,70,70,13,13,2023,1
"Townsville-Brisbane","Townsville","Brisbane","Virgin Australia","Jan-23",137,123,14,87,85,36,38,2023,1
"Adelaide-Perth","Adelaide","Perth","Virgin Australia Regional Airlines","Jan-23",45,42,3,19,25,23,17,2023,1
"Broome-Perth","Broome","Perth","Virgin Australia Regional Airlines","Jan-23",33,31,2,17,21,14,10,2023,1
"Darwin-Perth","Darwin","Perth","Virgin Australia Regional Airlines","Jan-23",20,20,0,11,14,9,6,2023,1
"Kalgoorlie-Perth","Kalgoorlie","Perth","Virgin Australia Regional Airlines","Jan-23",43,43,0,36,32,7,11,2023,1
"Karratha-Perth","Karratha","Perth","Virgin Australia Regional Airlines","Jan-23",30,30,0,22,21,8,9,2023,1
"Newman-Perth","Newman","Perth","Virgin Australia Regional Airlines","Jan-23",36,36,0,24,24,12,12,2023,1
"Perth-Adelaide","Perth","Adelaide","Virgin Australia Regional Airlines","Jan-23",45,42,3,28,25,14,17,2023,1
"Perth-Broome","Perth","Broome","Virgin Australia Regional Airlines","Jan-23",33,31,2,22,24,9,7,2023,1
"Perth-Darwin","Perth","Darwin","Virgin Australia Regional Airlines","Jan-23",20,20,0,11,11,9,9,2023,1
"Perth-Kalgoorlie","Perth","Kalgoorlie","Virgin Australia Regional Airlines","Jan-23",43,43,0,39,34,4,9,2023,1
"Perth-Karratha","Perth","Karratha","Virgin Australia Regional Airlines","Jan-23",30,30,0,27,25,3,5,2023,1
"Perth-Newman","Perth","Newman","Virgin Australia Regional Airlines","Jan-23",36,36,0,28,26,8,10,2023,1
"Perth-Port Hedland","Perth","Port Hedland","Virgin Australia Regional Airlines","Jan-23",39,37,2,29,29,8,8,2023,1
"Port Hedland-Perth","Port Hedland","Perth","Virgin Australia Regional Airlines","Jan-23",39,37,2,25,23,12,14,2023,1
"Adelaide-Alice Springs","Adelaide","Alice Springs","All Airlines","Jan-23",47,47,0,40,36,7,11,2023,1
"Adelaide-Brisbane","Adelaide","Brisbane","All Airlines","Jan-23",333,327,6,235,253,92,74,2023,1
"Adelaide-Canberra","Adelaide","Canberra","All Airlines","Jan-23",76,76,0,68,68,8,8,2023,1
"Adelaide-Gold Coast","Adelaide","Gold Coast","All Airlines","Jan-23",74,73,1,61,63,12,10,2023,1
"Adelaide-Melbourne","Adelaide","Melbourne","All Airlines","Jan-23",681,663,18,494,519,169,144,2023,1
"Adelaide-Perth","Adelaide","Perth","All Airlines","Jan-23",205,200,5,150,160,50,40,2023,1
"Adelaide-Port Lincoln","Adelaide","Port Lincoln","All Airlines","Jan-23",289,280,9,265,261,15,19,2023,1
"Adelaide-Sydney","Adelaide","Sydney","All Airlines","Jan-23",458,440,18,336,350,104,90,2023,1
"Albury-Sydney","Albury","Sydney","All Airlines","Jan-23",175,169,6,146,145,23,24,2023,1
"Alice Springs-Adelaide","Alice Springs","Adelaide","All Airlines","Jan-23",48,47,1,31,33,16,14,2023,1
"Armidale-Sydney","Armidale","Sydney","All Airlines","Jan-23",135,128,7,108,103,20,25,2023,1
"Ballina-Sydney","Ballina","Sydney","All Airlines","Jan-23",240,234,6,181,175,53,59,2023,1
"Brisbane-Adelaide","Brisbane","Adelaide","All Airlines","Jan-23",334,328,6,241,224,87,104,2023,1
"Brisbane-Cairns","Brisbane","Cairns","All Airlines","Jan-23",348,343,5,277,281,66,62,2023,1
"Brisbane-Canberra","Brisbane","Canberra","All Airlines","Jan-23",265,263,2,219,214,44,49,2023,1
"Brisbane-Darwin","Brisbane","Darwin","All Airlines","Jan-23",112,112,0,66,78,46,34,2023,1
"Brisbane-Emerald","Brisbane","Emerald","All Airlines","Jan-23",144,141,3,118,117,23,24,2023,1
"Brisbane-Gladstone","Brisbane","Gladstone","All Airlines","Jan-23",185,175,10,129,131,46,44,2023,1
"Brisbane-Hamilton Island","Brisbane","Hamilton Island","All Airlines","Jan-23",62,62,0,58,54,4,8,2023,1
"Brisbane-Hobart","Brisbane","Hobart","All Airlines","Jan-23",119,118,1,95,97,23,21,2023,1
"Brisbane-Launceston","Brisbane","Launceston","All Airlines","Jan-23",56,55,1,33,32,22,23,2023,1
"Brisbane-Mackay","Brisbane","Mackay","All Airlines","Jan-23",282,278,4,205,193,73,85,2023,1
"Brisbane-Melbourne","Brisbane","Melbourne","All Airlines","Jan-23",968,931,37,696,674,235,257,2023,1
"Brisbane-Mount Isa","Brisbane","Mount Isa","All Airlines","Jan-23",66,64,2,53,53,11,11,2023,1
"Brisbane-Newcastle","Brisbane","Newcastle","All Airlines","Jan-23",257,245,12,181,181,64,64,2023,1
"Brisbane-Perth","Brisbane","Perth","All Airlines","Jan-23",329,324,5,242,250,82,74,2023,1
"Brisbane-Proserpine","Brisbane","Proserpine","All Airlines","Jan-23",110,99,11,81,81,18,18,2023,1
"Brisbane-Rockhampton","Brisbane","Rockhampton","All Airlines","Jan-23",309,303,6,232,206,71,97,2023,1
"Brisbane-Sydney","Brisbane","Sydney","All Airlines","Jan-23",1175,1122,53,844,833,278,289,2023,1
"Brisbane-Townsville","Brisbane","Townsville","All Airlines","Jan-23",308,295,13,228,234,67,61,2023,1
"Broome-Perth","Broome","Perth","All Airlines","Jan-23",124,114,10,69,74,45,40,2023,1
"Cairns-Brisbane","Cairns","Brisbane","All Airlines","Jan-23",348,344,4,274,274,70,70,2023,1
"Cairns-Melbourne","Cairns","Melbourne","All Airlines","Jan-23",186,182,4,116,123,66,59,2023,1
"Cairns-Sydney","Cairns","Sydney","All Airlines","Jan-23",238,231,7,171,179,60,52,2023,1
"Cairns-Townsville","Cairns","Townsville","All Airlines","Jan-23",166,160,6,147,147,13,13,2023,1
"Canberra-Adelaide","Canberra","Adelaide","All Airlines","Jan-23",75,75,0,64,59,11,16,2023,1
"Canberra-Brisbane","Canberra","Brisbane","All Airlines","Jan-23",266,263,3,223,223,40,40,2023,1
"Canberra-Gold Coast","Canberra","Gold Coast","All Airlines","Jan-23",62,62,0,47,47,15,15,2023,1
"Canberra-Melbourne","Canberra","Melbourne","All Airlines","Jan-23",361,352,9,263,262,89,90,2023,1
"Canberra-Sydney","Canberra","Sydney","All Airlines","Jan-23",515,478,37,393,392,85,86,2023,1
"Coffs Harbour-Sydney","Coffs Harbour","Sydney","All Airlines","Jan-23",204,203,1,176,162,27,41,2023,1
"Darwin-Brisbane","Darwin","Brisbane","All Airlines","Jan-23",110,109,1,86,82,23,27,2023,1
"Darwin-Melbourne","Darwin","Melbourne","All Airlines","Jan-23",70,69,1,42,42,27,27,2023,1
"Darwin-Perth","Darwin","Perth","All Airlines","Jan-23",53,53,0,30,35,23,18,2023,1
"Darwin-Sydney","Darwin","Sydney","All Airlines","Jan-23",62,62,0,41,44,21,18,2023,1
"Dubbo-Sydney","Dubbo","Sydney","All Airlines","Jan-23",181,177,4,163,159,14,18,2023,1
"Emerald-Brisbane","Emerald","Brisbane","All Airlines","Jan-23",144,141,3,114,113,27,28,2023,1
"Gladstone-Brisbane","Gladstone","Brisbane","All Airlines","Jan-23",185,175,10,138,129,37,46,2023,1
"Gold Coast-Adelaide","Gold Coast","Adelaide","All Airlines","Jan-23",74,73,1,56,57,17,16,2023,1
"Gold Coast-Canberra","Gold Coast","Canberra","All Airlines","Jan-23",62,62,0,43,47,19,15,2023,1
"Gold Coast-Melbourne","Gold Coast","Melbourne","All Airlines","Jan-23",672,647,25,478,483,169,164,2023,1
"Gold Coast-Sydney","Gold Coast","Sydney","All Airlines","Jan-23",779,744,35,568,539,176,205,2023,1
"Hamilton Island-Brisbane","Hamilton Island","Brisbane","All Airlines","Jan-23",62,62,0,44,48,18,14,2023,1
"Hamilton Island-Sydney","Hamilton Island","Sydney","All Airlines","Jan-23",88,88,0,51,52,37,36,2023,1
"Hobart-Brisbane","Hobart","Brisbane","All Airlines","Jan-23",119,118,1,82,80,36,38,2023,1
"Hobart-Melbourne","Hobart","Melbourne","All Airlines","Jan-23",475,448,27,281,281,167,167,2023,1
"Hobart-Sydney","Hobart","Sydney","All Airlines","Jan-23",256,252,4,179,175,73,77,2023,1
"Kalgoorlie-Perth","Kalgoorlie","Perth","All Airlines","Jan-23",143,141,2,116,110,25,31,2023,1
"Karratha-Perth","Karratha","Perth","All Airlines","Jan-23",189,188,1,152,149,36,39,2023,1
"Launceston-Brisbane","Launceston","Brisbane","All Airlines","Jan-23",56,55,1,28,31,27,24,2023,1
"Launceston-Melbourne","Launceston","Melbourne","All Airlines","Jan-23",365,345,20,237,248,108,97,2023,1
"Launceston-Sydney","Launceston","Sydney","All Airlines","Jan-23",134,131,3,106,99,25,32,2023,1
"Mackay-Brisbane","Mackay","Brisbane","All Airlines","Jan-23",288,283,5,201,200,82,83,2023,1
"Melbourne-Adelaide","Melbourne","Adelaide","All Airlines","Jan-23",684,669,15,512,487,157,182,2023,1
"Melbourne-Brisbane","Melbourne","Brisbane","All Airlines","Jan-23",966,928,38,687,677,241,251,2023,1
"Melbourne-Cairns","Melbourne","Cairns","All Airlines","Jan-23",186,182,4,129,134,53,48,2023,1
"Melbourne-Canberra","Melbourne","Canberra","All Airlines","Jan-23",360,353,7,278,266,75,87,2023,1
"Melbourne-Darwin","Melbourne","Darwin","All Airlines","Jan-23",70,70,0,37,38,33,32,2023,1
"Melbourne-Gold Coast","Melbourne","Gold Coast","All Airlines","Jan-23",671,646,25,464,471,182,175,2023,1
"Melbourne-Hobart","Melbourne","Hobart","All Airlines","Jan-23",475,450,25,301,297,149,153,2023,1
"Melbourne-Launceston","Melbourne","Launceston","All Airlines","Jan-23",362,343,19,247,241,96,102,2023,1
"Melbourne-Mildura","Melbourne","Mildura","All Airlines","Jan-23",155,151,4,122,114,29,37,2023,1
"Melbourne-Newcastle","Melbourne","Newcastle","All Airlines","Jan-23",144,143,1,108,98,35,45,2023,1
"Melbourne-Perth","Melbourne","Perth","All Airlines","Jan-23",505,495,10,350,350,145,145,2023,1
