"Route","Departing_Port","Arriving_Port","Airline","Month","Sectors_Scheduled","Sectors_Flown","Cancellations","Departures_On_Time","Arrivals_On_Time","Departures_Delayed","Arrivals_Delayed","Year","Month_Num"
"Canberra-Brisbane","Canberra","Brisbane","QantasLink","Aug-23",172,168,4,111,116,57,52,2023,8
"Canberra-Melbourne","Canberra","Melbourne","QantasLink","Aug-23",280,271,9,194,191,77,80,2023,8
"Canberra-Sydney","Canberra","Sydney","QantasLink","Aug-23",486,414,72,279,271,135,143,2023,8
"Coffs Harbour-Sydney","Coffs Harbour","Sydney","QantasLink","Aug-23",116,108,8,89,86,19,22,2023,8
"Darwin-Adelaide","Darwin","Adelaide","QantasLink","Aug-23",62,62,0,53,53,9,9,2023,8
"Darwin-Perth","Darwin","Perth","QantasLink","Aug-23",40,39,1,15,20,24,19,2023,8
"Devonport-Melbourne","Devonport","Melbourne","QantasLink","Aug-23",120,111,9,76,73,35,38,2023,8
"Dubbo-Sydney","Dubbo","Sydney","QantasLink","Aug-23",116,111,5,94,94,17,17,2023,8
"Emerald-Brisbane","Emerald","Brisbane","QantasLink","Aug-23",126,124,2,100,95,24,29,2023,8
"Gladstone-Brisbane","Gladstone","Brisbane","QantasLink","Aug-23",147,135,12,113,112,22,23,2023,8
"Hobart-Brisbane","Hobart","Brisbane","QantasLink","Aug-23",26,26,0,16,18,10,8,2023,8
"Hobart-Melbourne","Hobart","Melbourne","QantasLink","Aug-23",58,57,1,36,29,21,28,2023,8
"Hobart-Sydney","Hobart","Sydney","QantasLink","Aug-23",81,80,1,55,54,25,26,2023,8
"Kalgoorlie-Perth","Kalgoorlie","Perth","QantasLink","Aug-23",56,56,0,41,36,15,20,2023,8
"Karratha-Perth","Karratha","Perth","QantasLink","Aug-23",129,128,1,88,88,40,40,2023,8
"Launceston-Melbourne","Launceston","Melbourne","QantasLink","Aug-23",119,111,8,75,79,36,32,2023,8
"Launceston-Sydney","Launceston","Sydney","QantasLink","Aug-23",31,31,0,17,19,14,12,2023,8
"Mackay-Brisbane","Mackay","Brisbane","QantasLink","Aug-23",20,20,0,14,13,6,7,2023,8
"Melbourne-Adelaide","Melbourne","Adelaide","QantasLink","Aug-23",14,10,4,9,9,1,1,2023,8
"Melbourne-Canberra","Melbourne","Canberra","QantasLink","Aug-23",280,272,8,199,194,73,78,2023,8
"Melbourne-Devonport","Melbourne","Devonport","QantasLink","Aug-23",120,112,8,75,80,37,32,2023,8
"Melbourne-Hobart","Melbourne","Hobart","QantasLink","Aug-23",58,57,1,44,40,13,17,2023,8
"Melbourne-Launceston","Melbourne","Launceston","QantasLink","Aug-23",119,111,8,77,72,34,39,2023,8
"Melbourne-Mildura","Melbourne","Mildura","QantasLink","Aug-23",137,133,4,86,87,47,46,2023,8
"Melbourne-Newcastle","Melbourne","Newcastle","QantasLink","Aug-23",58,57,1,36,36,21,21,2023,8
"Mildura-Melbourne","Mildura","Melbourne","QantasLink","Aug-23",137,132,5,88,82,44,50,2023,8
"Newcastle-Brisbane","Newcastle","Brisbane","QantasLink","Aug-23",138,121,17,86,105,35,16,2023,8
"Newcastle-Melbourne","Newcastle","Melbourne","QantasLink","Aug-23",58,56,2,45,47,11,9,2023,8
"Newman-Perth","Newman","Perth","QantasLink","Aug-23",106,105,1,85,61,20,44,2023,8
"Perth-Broome","Perth","Broome","QantasLink","Aug-23",87,87,0,66,74,21,13,2023,8
"Perth-Darwin","Perth","Darwin","QantasLink","Aug-23",40,40,0,27,25,13,15,2023,8
"Perth-Kalgoorlie","Perth","Kalgoorlie","QantasLink","Aug-23",56,56,0,43,43,13,13,2023,8
"Perth-Karratha","Perth","Karratha","QantasLink","Aug-23",128,128,0,97,98,31,30,2023,8
"Perth-Newman","Perth","Newman","QantasLink","Aug-23",106,106,0,93,92,13,14,2023,8
"Perth-Port Hedland","Perth","Port Hedland","QantasLink","Aug-23",124,124,0,107,103,17,21,2023,8
"Port Hedland-Perth","Port Hedland","Perth","QantasLink","Aug-23",124,124,0,95,83,29,41,2023,8
"Port Lincoln-Adelaide","Port Lincoln","Adelaide","QantasLink","Aug-23",143,133,10,122,119,11,14,2023,8
"Port Macquarie-Sydney","Port Macquarie","Sydney","QantasLink","Aug-23",116,110,6,79,75,31,35,2023,8
"Proserpine-Brisbane","Proserpine","Brisbane","QantasLink","Aug-23",30,30,0,21,19,9,11,2023,8
"Rockhampton-Brisbane","Rockhampton","Brisbane","QantasLink","Aug-23",188,172,16,118,119,54,53,2023,8
"Sydney-Albury","Sydney","Albury","QantasLink","Aug-23",116,113,3,82,80,31,33,2023,8
"Sydney-Armidale","Sydney","Armidale","QantasLink","Aug-23",115,106,9,78,90,28,16,2023,8
"Sydney-Ballina","Sydney","Ballina","QantasLink","Aug-23",101,95,6,72,76,23,19,2023,8
"Sydney-Canberra","Sydney","Canberra","QantasLink","Aug-23",486,415,71,320,298,95,117,2023,8
"Sydney-Coffs Harbour","Sydney","Coffs Harbour","QantasLink","Aug-23",115,108,7,75,87,33,21,2023,8
"Sydney-Dubbo","Sydney","Dubbo","QantasLink","Aug-23",116,111,5,71,84,40,27,2023,8
"Sydney-Hobart","Sydney","Hobart","QantasLink","Aug-23",81,79,2,53,52,26,27,2023,8
"Sydney-Launceston","Sydney","Launceston","QantasLink","Aug-23",31,31,0,21,16,10,15,2023,8
"Sydney-Port Macquarie","Sydney","Port Macquarie","QantasLink","Aug-23",116,110,6,74,78,36,32,2023,8
"Sydney-Wagga Wagga","Sydney","Wagga Wagga","QantasLink","Aug-23",116,112,4,84,86,28,26,2023,8
"Townsville-Brisbane","Townsville","Brisbane","QantasLink","Aug-23",69,69,0,56,54,13,15,2023,8
"Townsville-Cairns","Townsville","Cairns","QantasLink","Aug-23",158,153,5,133,135,20,18,2023,8
"Wagga Wagga-Sydney","Wagga Wagga","Sydney","QantasLink","Aug-23",116,113,3,85,87,28,26,2023,8
"Adelaide-Melbourne","Adelaide","Melbourne","Rex Airlines","Aug-23",58,58,0,48,49,10,9,2023,8
"Adelaide-Port Lincoln","Adelaide","Port Lincoln","Rex Airlines","Aug-23",146,143,3,128,123,15,20,2023,8
"Albury-Sydney","Albury","Sydney","Rex Airlines","Aug-23",113,110,3,86,83,24,27,2023,8
"Armidale-Sydney","Armidale","Sydney","Rex Airlines","Aug-23",54,49,5,34,31,15,18,2023,8
"Brisbane-Melbourne","Brisbane","Melbourne","Rex Airlines","Aug-23",59,59,0,37,34,22,25,2023,8
"Brisbane-Sydney","Brisbane","Sydney","Rex Airlines","Aug-23",147,146,1,111,107,35,39,2023,8
"Cairns-Townsville","Cairns","Townsville","Rex Airlines","Aug-23",14,14,0,12,13,2,1,2023,8
"Canberra-Melbourne","Canberra","Melbourne","Rex Airlines","Aug-23",31,31,0,21,21,10,10,2023,8
"Coffs Harbour-Sydney","Coffs Harbour","Sydney","Rex Airlines","Aug-23",112,112,0,91,88,21,24,2023,8
"Devonport-Melbourne","Devonport","Melbourne","Rex Airlines","Aug-23",52,48,4,38,36,10,12,2023,8
"Dubbo-Sydney","Dubbo","Sydney","Rex Airlines","Aug-23",131,128,3,104,104,24,24,2023,8
"Gold Coast-Melbourne","Gold Coast","Melbourne","Rex Airlines","Aug-23",31,31,0,26,22,5,9,2023,8
"Gold Coast-Sydney","Gold Coast","Sydney","Rex Airlines","Aug-23",31,31,0,29,28,2,3,2023,8
"Melbourne-Adelaide","Melbourne","Adelaide","Rex Airlines","Aug-23",58,58,0,44,42,14,16,2023,8
"Melbourne-Brisbane","Melbourne","Brisbane","Rex Airlines","Aug-23",58,58,0,48,50,10,8,2023,8
"Melbourne-Canberra","Melbourne","Canberra","Rex Airlines","Aug-23",31,31,0,19,22,12,9,2023,8
"Melbourne-Devonport","Melbourne","Devonport","Rex Airlines","Aug-23",52,48,4,41,41,7,7,2023,8
"Melbourne-Gold Coast","Melbourne","Gold Coast","Rex Airlines","Aug-23",31,31,0,29,28,2,3,2023,8
"Melbourne-Mildura","Melbourne","Mildura","Rex Airlines","Aug-23",106,106,0,81,79,25,27,2023,8
"Melbourne-Sydney","Melbourne","Sydney","Rex Airlines","Aug-23",155,155,0,135,132,20,23,2023,8
"Mildura-Melbourne","Mildura","Melbourne","Rex Airlines","Aug-23",107,107,0,85,80,22,27,2023,8
"Port Lincoln-Adelaide","Port Lincoln","Adelaide","Rex Airlines","Aug-23",146,142,4,122,118,20,24,2023,8
"Port Macquarie-Sydney","Port Macquarie","Sydney","Rex Airlines","Aug-23",83,79,4,68,61,11,18,2023,8
"Sydney-Albury","Sydney","Albury","Rex Airlines","Aug-23",111,110,1,81,81,29,29,2023,8
"Sydney-Armidale","Sydney","Armidale","Rex Airlines","Aug-23",54,49,5,38,40,11,9,2023,8
"Sydney-Brisbane","Sydney","Brisbane","Rex Airlines","Aug-23",147,146,1,111,108,35,38,2023,8
"Sydney-Coffs Harbour","Sydney","Coffs Harbour","Rex Airlines","Aug-23",111,111,0,85,92,26,19,2023,8
"Sydney-Dubbo","Sydney","Dubbo","Rex Airlines","Aug-23",134,131,3,104,111,27,20,2023,8
"Sydney-Gold Coast","Sydney","Gold Coast","Rex Airlines","Aug-23",31,31,0,30,29,1,2,2023,8
"Sydney-Melbourne","Sydney","Melbourne","Rex Airlines","Aug-23",154,154,0,128,114,26,40,2023,8
"Sydney-Port Macquarie","Sydney","Port Macquarie","Rex Airlines","Aug-23",85,82,3,66,70,16,12,2023,8
"Sydney-Wagga Wagga","Sydney","Wagga Wagga","Rex Airlines","Aug-23",91,91,0,60,59,31,32,2023,8
"Townsville-Cairns","Townsville","Cairns","Rex Airlines","Aug-23",14,14,0,13,13,1,1,2023,8
"Wagga Wagga-Sydney","Wagga Wagga","Sydney","Rex Airlines","Aug-23",90,89,1,62,59,27,30,2023,8
"Adelaide-Alice Springs","Adelaide","Alice Springs","Virgin Australia","Aug-23",13,13,0,10,8,3,5,2023,8
"Adelaide-Brisbane","Adelaide","Brisbane","Virgin Australia","Aug-23",143,140,3,94,103,46,37,2023,8
"Adelaide-Cairns","Adelaide","Cairns","Virgin Australia","Aug-23",14,14,0,8,8,6,6,2023,8
"Adelaide-Canberra","Adelaide","Canberra","Virgin Australia","Aug-23",17,17,0,14,14,3,3,2023,8
"Adelaide-Darwin","Adelaide","Darwin","Virgin Australia","Aug-23",13,13,0,9,11,4,2,2023,8
"Adelaide-Gold Coast","Adelaide","Gold Coast","Virgin Australia","Aug-23",31,30,1,28,30,2,0,2023,8
"Adelaide-Melbourne","Adelaide","Melbourne","Virgin Australia","Aug-23",263,259,4,172,180,87,79,2023,8
"Adelaide-Perth","Adelaide","Perth","Virgin Australia","Aug-23",37,34,3,20,17,14,17,2023,8
"Adelaide-Sydney","Adelaide","Sydney","Virgin Australia","Aug-23",190,176,14,116,118,60,58,2023,8
"Alice Springs-Adelaide","Alice Springs","Adelaide","Virgin Australia","Aug-23",13,13,0,2,2,11,11,2023,8
"Ballina-Sydney","Ballina","Sydney","Virgin Australia","Aug-23",48,48,0,34,30,14,18,2023,8
"Brisbane-Adelaide","Brisbane","Adelaide","Virgin Australia","Aug-23",143,140,3,93,96,47,44,2023,8
"Brisbane-Cairns","Brisbane","Cairns","Virgin Australia","Aug-23",148,147,1,97,109,50,38,2023,8
"Brisbane-Canberra","Brisbane","Canberra","Virgin Australia","Aug-23",115,110,5,74,74,36,36,2023,8
"Brisbane-Darwin","Brisbane","Darwin","Virgin Australia","Aug-23",31,31,0,15,24,16,7,2023,8
"Brisbane-Emerald","Brisbane","Emerald","Virgin Australia","Aug-23",27,27,0,23,24,4,3,2023,8
"Brisbane-Gladstone","Brisbane","Gladstone","Virgin Australia","Aug-23",54,54,0,39,39,15,15,2023,8
"Brisbane-Hamilton Island","Brisbane","Hamilton Island","Virgin Australia","Aug-23",31,31,0,21,23,10,8,2023,8
"Brisbane-Hobart","Brisbane","Hobart","Virgin Australia","Aug-23",39,39,0,24,21,15,18,2023,8
"Brisbane-Launceston","Brisbane","Launceston","Virgin Australia","Aug-23",15,15,0,8,9,7,6,2023,8
"Brisbane-Mackay","Brisbane","Mackay","Virgin Australia","Aug-23",143,143,0,84,101,59,42,2023,8
"Brisbane-Melbourne","Brisbane","Melbourne","Virgin Australia","Aug-23",423,393,30,255,234,138,159,2023,8
"Brisbane-Mount Isa","Brisbane","Mount Isa","Virgin Australia","Aug-23",14,14,0,12,12,2,2,2023,8
"Brisbane-Newcastle","Brisbane","Newcastle","Virgin Australia","Aug-23",85,84,1,57,53,27,31,2023,8
"Brisbane-Perth","Brisbane","Perth","Virgin Australia","Aug-23",118,112,6,63,59,49,53,2023,8
"Brisbane-Proserpine","Brisbane","Proserpine","Virgin Australia","Aug-23",31,31,0,25,24,6,7,2023,8
"Brisbane-Rockhampton","Brisbane","Rockhampton","Virgin Australia","Aug-23",147,147,0,99,95,48,52,2023,8
"Brisbane-Sydney","Brisbane","Sydney","Virgin Australia","Aug-23",503,459,44,312,300,147,159,2023,8
"Brisbane-Townsville","Brisbane","Townsville","Virgin Australia","Aug-23",147,146,1,83,86,63,60,2023,8
"Broome-Perth","Broome","Perth","Virgin Australia","Aug-23",26,26,0,8,10,18,16,2023,8
"Cairns-Adelaide","Cairns","Adelaide","Virgin Australia","Aug-23",14,14,0,4,4,10,10,2023,8
"Cairns-Brisbane","Cairns","Brisbane","Virgin Australia","Aug-23",148,146,2,98,105,48,41,2023,8
"Cairns-Melbourne","Cairns","Melbourne","Virgin Australia","Aug-23",78,77,1,48,43,29,34,2023,8
"Cairns-Sydney","Cairns","Sydney","Virgin Australia","Aug-23",83,83,0,60,56,23,27,2023,8
"Canberra-Adelaide","Canberra","Adelaide","Virgin Australia","Aug-23",17,17,0,14,14,3,3,2023,8
"Canberra-Brisbane","Canberra","Brisbane","Virgin Australia","Aug-23",115,110,5,84,87,26,23,2023,8
"Canberra-Gold Coast","Canberra","Gold Coast","Virgin Australia","Aug-23",31,31,0,20,19,11,12,2023,8
"Canberra-Melbourne","Canberra","Melbourne","Virgin Australia","Aug-23",131,127,4,84,77,43,50,2023,8
"Canberra-Sydney","Canberra","Sydney","Virgin Australia","Aug-23",262,252,10,214,213,38,39,2023,8
"Darwin-Adelaide","Darwin","Adelaide","virgin Australia","Aug-23",14,14,0,9,13,5,1,2023,8
"Darwin-Brisbane","Darwin","Brisbane","Virgin Australia","Aug-23",31,31,0,17,18,14,13,2023,8
"Darwin-Melbourne","Darwin","Melbourne","Virgin Australia","Aug-23",31,31,0,16,22,15,9,2023,8
"Darwin-Perth","Darwin","Perth","Virgin Australia","Aug-23",5,5,0,3,3,2,2,2023,8
"Emerald-Brisbane","Emerald","Brisbane","Virgin Australia","Aug-23",27,27,0,25,25,2,2,2023,8
"Gladstone-Brisbane","Gladstone","Brisbane","Virgin Australia","Aug-23",54,54,0,38,26,16,28,2023,8
"Gold Coast-Adelaide","Gold Coast","Adelaide","Virgin Australia","Aug-23",31,30,1,20,17,10,13,2023,8
"Gold Coast-Canberra","Gold Coast","Canberra","Virgin Australia","Aug-23",31,31,0,19,19,12,12,2023,8
"Gold Coast-Melbourne","Gold Coast","Melbourne","Virgin Australia","Aug-23",254,244,10,142,152,102,92,2023,8
"Gold Coast-Sydney","Gold Coast","Sydney","Virgin Australia","Aug-23",288,282,6,207,197,75,85,2023,8
"Hamilton Island-Brisbane","Hamilton Island","Brisbane","Virgin Australia","Aug-23",31,31,0,23,25,8,6,2023,8
"Hamilton Island-Sydney","Hamilton Island","Sydney","Virgin Australia","Aug-23",28,28,0,19,15,9,13,2023,8
"Hobart-Brisbane","Hobart","Brisbane","Virgin Australia","Aug-23",39,38,1,17,20,21,18,2023,8
"Hobart-Melbourne","Hobart","Melbourne","Virgin Australia","Aug-23",116,116,0,77,62,39,54,2023,8
"Hobart-Sydney","Hobart","Sydney","Virgin Australia","Aug-23",77,75,2,56,56,19,19,2023,8
"Kalgoorlie-Perth","Kalgoorlie","Perth","Virgin Australia","Aug-23",67,63,4,48,47,15,16,2023,8
"Karratha-Perth","Karratha","Perth","Virgin Australia","Aug-23",33,32,1,20,21,12,11,2023,8
"Launceston-Brisbane","Launceston","Brisbane","Virgin Australia","Aug-23",15,15,0,8,7,7,8,2023,8
"Launceston-Melbourne","Launceston","Melbourne","Virgin Australia","Aug-23",89,88,1,62,51,26,37,2023,8
"Launceston-Sydney","Launceston","Sydney","Virgin Australia","Aug-23",30,30,0,22,20,8,10,2023,8
"Mackay-Brisbane","Mackay","Brisbane","Virgin Australia","Aug-23",143,143,0,98,114,45,29,2023,8
"Melbourne-Adelaide","Melbourne","Adelaide","Virgin Australia","Aug-23",260,256,4,177,166,79,90,2023,8
"Melbourne-Brisbane","Melbourne","Brisbane","Virgin Australia","Aug-23",425,400,25,251,257,149,143,2023,8
"Melbourne-Cairns","Melbourne","Cairns","Virgin Australia","Aug-23",78,77,1,61,63,16,14,2023,8
"Melbourne-Canberra","Melbourne","Canberra","Virgin Australia","Aug-23",131,127,4,80,78,47,49,2023,8
"Melbourne-Darwin","Melbourne","Darwin","Virgin Australia","Aug-23",31,31,0,24,27,7,4,2023,8
"Melbourne-Gold Coast","Melbourne","Gold Coast","Virgin Australia","Aug-23",254,242,12,160,177,82,65,2023,8
"Melbourne-Hobart","Melbourne","Hobart","Virgin Australia","Aug-23",116,116,0,73,63,43,53,2023,8
"Melbourne-Launceston","Melbourne","Launceston","Virgin Australia","Aug-23",89,88,1,42,40,46,48,2023,8
"Melbourne-Newcastle","Melbourne","Newcastle","Virgin Australia","Aug-23",39,39,0,28,28,11,11,2023,8
"Melbourne-Perth","Melbourne","Perth","Virgin Australia","Aug-23",193,179,14,103,107,76,72,2023,8
"Melbourne-Sunshine Coast","Melbourne","Sunshine Coast","Virgin Australia","Aug-23",67,67,0,45,55,22,12,2023,8
"Melbourne-Sydney","Melbourne","Sydney","Virgin Australia","Aug-23",806,708,98,505,469,203,239,2023,8
"Mount Isa-Brisbane","Mount Isa","Brisbane","Virgin Australia","Aug-23",14,14,0,7,8,7,6,2023,8
"Newcastle-Brisbane","Newcastle","Brisbane","Virgin Australia","Aug-23",85,84,1,51,53,33,31,2023,8
"Newcastle-Melbourne","Newcastle","Melbourne","Virgin Australia","Aug-23",39,39,0,26,22,13,17,2023,8
"Newman-Perth","Newman","Perth","Virgin Australia","Aug-23",37,35,2,30,19,5,16,2023,8
"Perth-Adelaide","Perth","Adelaide","Virgin Australia","Aug-23",40,36,4,26,30,10,6,2023,8
"Perth-Brisbane","Perth","Brisbane","Virgin Australia","Aug-23",119,113,6,73,95,40,18,2023,8
"Perth-Broome","Perth","Broome","Virgin Australia","Aug-23",25,25,0,13,15,12,10,2023,8
"Perth-Darwin","Perth","Darwin","Virgin Australia","Aug-23",5,5,0,2,2,3,3,2023,8
"Perth-Kalgoorlie","Perth","Kalgoorlie","Virgin Australia","Aug-23",67,63,4,50,49,13,14,2023,8
"Perth-Karratha","Perth","Karratha","Virgin Australia","Aug-23",33,32,1,25,23,7,9,2023,8
"Perth-Melbourne","Perth","Melbourne","Virgin Australia","Aug-23",199,184,15,131,150,53,34,2023,8
"Perth-Newman","Perth","Newman","Virgin Australia","Aug-23",37,35,2,30,28,5,7,2023,8
"Perth-Port Hedland","Perth","Port Hedland","Virgin Australia","Aug-23",36,31,5,23,21,8,10,2023,8
"Perth-Sydney","Perth","Sydney","Virgin Australia","Aug-23",141,135,6,81,115,54,20,2023,8
"Port Hedland-Perth","Port Hedland","Perth","Virgin Australia","Aug-23",36,31,5,15,15,16,16,2023,8
"Proserpine-Brisbane","Proserpine","Brisbane","Virgin Australia","Aug-23",31,31,0,24,22,7,9,2023,8
"Rockhampton-Brisbane","Rockhampton","Brisbane","Virgin Australia","Aug-23",147,147,0,111,97,36,50,2023,8
"Sunshine Coast-Melbourne","Sunshine Coast","Melbourne","Virgin Australia","Aug-23",67,67,0,37,33,30,34,2023,8
"Sunshine Coast-Sydney","Sunshine Coast","Sydney","Virgin Australia","Aug-23",62,62,0,44,33,18,29,2023,8
"Sydney-Adelaide","Sydney","Adelaide","Virgin Australia","Aug-23",190,178,12,133,125,45,53,2023,8
"Sydney-Ballina","Sydney","Ballina","Virgin Australia","Aug-23",48,48,0,39,36,9,12,2023,8
"Sydney-Brisbane","Sydney","Brisbane","Virgin Australia","Aug-23",499,450,49,341,327,109,123,2023,8
"Sydney-Cairns","Sydney","Cairns","Virgin Australia","Aug-23",83,83,0,66,72,17,11,2023,8
"Sydney-Canberra","Sydney","Canberra","Virgin Australia","Aug-23",262,252,10,204,211,48,41,2023,8
"Sydney-Gold Coast","Sydney","Gold Coast","Virgin Australia","Aug-23",288,285,3,202,188,83,97,2023,8
"Sydney-Hamilton Island","Sydney","Hamilton Island","Virgin Australia","Aug-23",28,28,0,21,19,7,9,2023,8
"Sydney-Hobart","Sydney","Hobart","Virgin Australia","Aug-23",77,75,2,59,55,16,20,2023,8
"Sydney-Launceston","Sydney","Launceston","Virgin Australia","Aug-23",30,30,0,23,24,7,6,2023,8
"Sydney-Melbourne","Sydney","Melbourne","Virgin Australia","Aug-23",801,706,95,517,475,189,231,2023,8
"Sydney-Perth","Sydney","Perth","Virgin Australia","Aug-23",149,141,8,89,91,52,50,2023,8
"Sydney-Sunshine Coast","Sydney","Sunshine Coast","Virgin Australia","Aug-23",62,62,0,47,45,15,17,2023,8
"Townsville-Brisbane","Townsville","Brisbane","Virgin Australia","Aug-23",147,146,1,77,64,69,82,2023,8
"Adelaide-Perth","Adelaide","Perth","Virgin Australia Regional Airlines","Aug-23",35,26,9,15,16,11,10,2023,8
"Broome-Perth","Broome","Perth","Virgin Australia Regional Airlines","Aug-23",28,27,1,9,12,18,15,2023,8
"Darwin-Perth","Darwin","Perth","Virgin Australia Regional Airlines","Aug-23",17,15,2,8,10,7,5,2023,8
"Kalgoorlie-Perth","Kalgoorlie","Perth","Virgin Australia Regional Airlines","Aug-23",27,26,1,18,16,8,10,2023,8
"Karratha-Perth","Karratha","Perth","Virgin Australia Regional Airlines","Aug-23",21,21,0,6,7,15,14,2023,8
"Newman-Perth","Newman","Perth","Virgin Australia Regional Airlines","Aug-23",23,21,2,13,15,8,6,2023,8
"Perth-Adelaide","Perth","Adelaide","Virgin Australia Regional Airlines","Aug-23",35,26,9,18,18,8,8,2023,8
"Perth-Broome","Perth","Broome","Virgin Australia Regional Airlines","Aug-23",29,28,1,17,18,11,10,2023,8
"Perth-Darwin","Perth","Darwin","Virgin Australia Regional Airlines","Aug-23",17,15,2,10,10,5,5,2023,8
"Perth-Kalgoorlie","Perth","Kalgoorlie","Virgin Australia Regional Airlines","Aug-23",27,26,1,19,19,7,7,2023,8
"Perth-Karratha","Perth","Karratha","Virgin Australia Regional Airlines","Aug-23",21,21,0,10,7,11,14,2023,8
"Perth-Newman","Perth","Newman","Virgin Australia Regional Airlines","Aug-23",23,21,2,13,15,8,6,2023,8
"Perth-Port Hedland","Perth","Port Hedland","Virgin Australia Regional Airlines","Aug-23",18,16,2,8,8,8,8,2023,8
"Port Hedland-Perth","Port Hedland","Perth","Virgin Australia Regional Airlines","Aug-23",18,15,3,5,6,10,9,2023,8
"Adelaide-Alice Springs","Adelaide","Alice Springs","All Airlines","Aug-23",67,65,2,54,48,11,17,2023,8
"Adelaide-Brisbane","Adelaide","Brisbane","All Airlines","Aug-23",359,353,6,236,265,117,88,2023,8
"Adelaide-Cairns","Adelaide","Cairns","All Airlines","Aug-23",45,45,0,37,39,8,6,2023,8
"Adelaide-Canberra","Adelaide","Canberra","All Airlines","Aug-23",132,130,2,106,103,24,27,2023,8
"Adelaide-Darwin","Adelaide","Darwin","All Airlines","Aug-23",101,101,0,81,78,20,23,2023,8
"Adelaide-Gold Coast","Adelaide","Gold Coast","All Airlines","Aug-23",57,55,2,47,50,8,5,2023,8
"Adelaide-Melbourne","Adelaide","Melbourne","All Airlines","Aug-23",698,685,13,480,498,205,187,2023,8
"Adelaide-Perth","Adelaide","Perth","All Airlines","Aug-23",191,179,12,139,133,40,46,2023,8
"Adelaide-Port Lincoln","Adelaide","Port Lincoln","All Airlines","Aug-23",289,277,12,247,239,30,38,2023,8
"Adelaide-Sydney","Adelaide","Sydney","All Airlines","Aug-23",512,486,26,356,349,130,137,2023,8
"Albury-Sydney","Albury","Sydney","All Airlines","Aug-23",229,223,6,163,162,60,61,2023,8
"Alice Springs-Adelaide","Alice Springs","Adelaide","All Airlines","Aug-23",67,65,2,44,38,21,27,2023,8
"Armidale-Sydney","Armidale","Sydney","All Airlines","Aug-23",170,156,14,125,122,31,34,2023,8
"Ballina-Sydney","Ballina","Sydney","All Airlines","Aug-23",227,221,6,167,161,54,60,2023,8
"Brisbane-Adelaide","Brisbane","Adelaide","All Airlines","Aug-23",359,353,6,244,221,109,132,2023,8
"Brisbane-Cairns","Brisbane","Cairns","All Airlines","Aug-23",411,410,1,301,315,109,95,2023,8
"Brisbane-Canberra","Brisbane","Canberra","All Airlines","Aug-23",323,314,9,220,214,94,100,2023,8
"Brisbane-Darwin","Brisbane","Darwin","All Airlines","Aug-23",97,97,0,67,81,30,16,2023,8
"Brisbane-Emerald","Brisbane","Emerald","All Airlines","Aug-23",153,151,2,116,123,35,28,2023,8
"Brisbane-Gladstone","Brisbane","Gladstone","All Airlines","Aug-23",202,189,13,147,151,42,38,2023,8
"Brisbane-Hamilton Island","Brisbane","Hamilton Island","All Airlines","Aug-23",53,53,0,39,41,14,12,2023,8
"Brisbane-Hobart","Brisbane","Hobart","All Airlines","Aug-23",82,82,0,56,47,26,35,2023,8
"Brisbane-Launceston","Brisbane","Launceston","All Airlines","Aug-23",36,36,0,20,24,16,12,2023,8
"Brisbane-Mackay","Brisbane","Mackay","All Airlines","Aug-23",285,285,0,190,212,95,73,2023,8
"Brisbane-Melbourne","Brisbane","Melbourne","All Airlines","Aug-23",1007,962,45,682,640,280,322,2023,8
"Brisbane-Mount Isa","Brisbane","Mount Isa","All Airlines","Aug-23",68,68,0,59,64,9,4,2023,8
"Brisbane-Newcastle","Brisbane","Newcastle","All Airlines","Aug-23",276,258,18,186,183,72,75,2023,8
"Brisbane-Perth","Brisbane","Perth","All Airlines","Aug-23",298,291,7,196,188,95,103,2023,8
